package,version,relationship,license,status
"entities","8.0.0","transitive","BSD-2-Clause","FLAGGED"
"error-stack-parser-es","1.0.5","transitive","MIT","MIT"
"es-abstract","1.24.2","transitive","MIT","MIT"
"es-abstract-get","1.0.0","transitive","MIT","MIT"
"es-define-property","1.0.1","transitive","MIT","MIT"
"es-errors","1.3.0","transitive","MIT","MIT"
"es-iterator-helpers","1.4.0","transitive","MIT","MIT"
"es-module-lexer","2.3.2","transitive","MIT","MIT"
"es-object-atoms","1.1.2","transitive","MIT","MIT"
"es-set-tostringtag","2.1.0","transitive","MIT","MIT"
"es-shim-unscopables","1.1.0","transitive","MIT","MIT"
"es-to-primitive","1.3.4","transitive","MIT","MIT"
"esbuild","0.25.4","direct-development","MIT","MIT"
"esbuild","0.28.1","direct-development","MIT","MIT"
"esbuild","0.28.2","direct-development","MIT","MIT"
"escalade","3.2.0","transitive","MIT","MIT"
"escape-html","1.0.3","transitive","MIT","MIT"
"escape-string-regexp","4.0.0","transitive","MIT","MIT"
"eslint","9.39.5","direct-development","MIT","MIT"
"eslint-config-next","16.3.3","direct-development","MIT","MIT"
"eslint-import-resolver-node","0.3.10","transitive","MIT","MIT"
"eslint-import-resolver-typescript","3.10.1","transitive","ISC","FLAGGED"
"eslint-module-utils","2.14.0","transitive","MIT","MIT"
"eslint-plugin-import","2.32.0","transitive","MIT","MIT"
"eslint-plugin-jsx-a11y","6.10.2","transitive","MIT","MIT"
"eslint-plugin-react","7.37.5","transitive","MIT","MIT"
"eslint-plugin-react-hooks","7.1.1","direct-development","MIT","MIT"
"eslint-scope","8.4.0","transitive","BSD-2-Clause","FLAGGED"
"eslint-visitor-keys","3.4.3","transitive","Apache-2.0","FLAGGED"
"eslint-visitor-keys","3.4.3","transitive","Apache-2.0","FLAGGED"
"eslint-visitor-keys","4.2.1","transitive","Apache-2.0","FLAGGED"
"eslint-visitor-keys","5.0.1","transitive","Apache-2.0","FLAGGED"
"espree","10.4.0","transitive","BSD-2-Clause","FLAGGED"
"esprima","4.0.1","transitive","BSD-2-Clause","FLAGGED"
"esquery","1.7.0","transitive","BSD-3-Clause","FLAGGED"
"esrecurse","4.3.0","transitive","BSD-2-Clause","FLAGGED"
"estraverse","5.3.0","transitive","BSD-2-Clause","FLAGGED"
"estree-walker","3.0.3","transitive","MIT","MIT"
"esutils","2.0.3","transitive","BSD-2-Clause","FLAGGED"
"etag","1.8.1","transitive","MIT","MIT"
"event-target-shim","5.0.1","transitive","MIT","MIT"
"execa","5.1.1","transitive","MIT","MIT"
"expect-type","1.4.0","transitive","Apache-2.0","FLAGGED"
"express","5.2.1","transitive","MIT","MIT"
"fast-deep-equal","3.1.3","transitive","MIT","MIT"
"fast-glob","3.3.1","transitive","MIT","MIT"
"fast-glob","3.3.3","transitive","MIT","MIT"
"fast-json-stable-stringify","2.1.0","transitive","MIT","MIT"
"fast-levenshtein","2.0.6","transitive","MIT","MIT"
"fastq","1.20.3","transitive","ISC","FLAGGED"
"faye-websocket","0.11.4","transitive","Apache-2.0","FLAGGED"
"fdir","6.5.0","transitive","MIT","MIT"
"fflate","0.6.11","transitive","MIT","MIT"
"fflate","0.8.3","transitive","MIT","MIT"
"file-entry-cache","8.0.0","transitive","MIT","MIT"
"fill-range","7.1.1","transitive","MIT","MIT"
"finalhandler","2.1.1","transitive","MIT","MIT"
"find-up","5.0.0","transitive","MIT","MIT"
"firebase","12.18.0","direct-production","Apache-2.0","FLAGGED"
"flat-cache","4.0.1","transitive","MIT","MIT"
"flatted","3.4.4","transitive","ISC","FLAGGED"
"for-each","0.3.5","transitive","MIT","MIT"
"foreground-child","3.3.1","transitive","ISC","FLAGGED"
"form-data","4.0.6","transitive","MIT","MIT"
"form-data-encoder","1.7.2","transitive","MIT","MIT"
"formdata-node","4.4.1","transitive","MIT","MIT"
"forwarded","0.2.0","transitive","MIT","MIT"
"fraction.js","5.3.4","transitive","MIT","MIT"
"framer-motion","11.18.2","direct-production","MIT","MIT"
"fresh","2.0.0","transitive","MIT","MIT"
"fs.realpath","1.0.0","transitive","ISC","FLAGGED"
"fsevents","2.3.3","transitive","MIT","MIT"
"function-bind","1.1.2","transitive","MIT","MIT"
"function.prototype.name","1.2.0","transitive","MIT","MIT"
"functions-have-names","1.2.3","transitive","MIT","MIT"
"generator-function","2.0.1","transitive","MIT","MIT"
"gensync","1.0.0-beta.2","transitive","MIT","MIT"
"get-caller-file","2.0.5","transitive","ISC","FLAGGED"
"get-east-asian-width","1.6.0","transitive","MIT","MIT"
"get-intrinsic","1.3.0","transitive","MIT","MIT"
"get-nonce","1.0.1","transitive","MIT","MIT"
"get-proto","1.0.1","transitive","MIT","MIT"
"get-stream","6.0.1","transitive","MIT","MIT"
"get-symbol-description","1.1.0","transitive","MIT","MIT"
"get-tsconfig","4.14.3","transitive","MIT","MIT"
"glob","12.0.0","transitive","BlueOak-1.0.0","FLAGGED"
"glob","9.3.5","transitive","ISC","FLAGGED"
"glob-parent","5.1.2","transitive","ISC","FLAGGED"
"glob-parent","5.1.2","transitive","ISC","FLAGGED"
"glob-parent","6.0.2","transitive","ISC","FLAGGED"
"glob-parent","6.0.2","transitive","ISC","FLAGGED"
"globals","14.0.0","transitive","MIT","MIT"
"globals","16.4.0","transitive","MIT","MIT"
"globalthis","1.0.4","transitive","MIT","MIT"
"glsl-noise","0.0.0","transitive","MIT","MIT"
"gopd","1.2.0","transitive","MIT","MIT"
"gzip-size","6.0.0","transitive","MIT","MIT"
"has-bigints","1.1.0","transitive","MIT","MIT"
"has-flag","4.0.0","transitive","MIT","MIT"
"has-property-descriptors","1.0.2","transitive","MIT","MIT"
"has-proto","1.2.0","transitive","MIT","MIT"
"has-symbols","1.1.0","transitive","MIT","MIT"
"has-tostringtag","1.0.2","transitive","MIT","MIT"
"hasown","2.0.4","transitive","MIT","MIT"
"hermes-estree","0.25.1","transitive","MIT","MIT"
"hermes-parser","0.25.1","transitive","MIT","MIT"
"hls.js","1.7.1","transitive","Apache-2.0","FLAGGED"
"html-encoding-sniffer","6.0.0","transitive","MIT","MIT"
"html-escaper","2.0.2","transitive","MIT","MIT"
"http-errors","2.0.1","transitive","MIT","MIT"
"http-parser-js","0.5.10","transitive","MIT","MIT"
"human-signals","2.1.0","transitive","Apache-2.0","FLAGGED"
"humanize-ms","1.2.1","transitive","MIT","MIT"
"iconv-lite","0.7.3","transitive","MIT","MIT"
"icu-minify","4.14.1","transitive","MIT","MIT"
"idb","7.1.1","transitive","ISC","FLAGGED"
"ieee754","1.2.1","transitive","BSD-3-Clause","FLAGGED"
"ignore","5.3.2","transitive","MIT","MIT"
"ignore","7.0.6","transitive","MIT","MIT"
